OWCP MEDICAL FEE SCHEDULE - EFFECTIVE
Table of RVU & Conversion Factor values by CPT/HCPCS Codes
Effective Date: June 30, 2020
Last Update: June 30, 2020
Pay Status: B=Bundled (Non-ASC providers); C=Covered; D = Not Payable by DOL; R=Suspend for Review; S = Suspend for Review




Table of RVU & Conversion Factor values by CPT/HCPCS Codes
      CPT                                               NON-FACILITY   FACILITY
      ADA                       PAY          WORK            PE           PE      MPE    GLOBAL   CONVERSION              SHORT DESCRIPTION
    HCPCS       MODIFIER     STATUS           RVU           RVU          RVU      RVU    PERIOD     FACTOR     END DATE   (ADA, HCPCS & OWCP codes only; Refer to AMA CPT)
     00100                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Salivary Gland
     00102                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Repair Of Cleft Lip
     00103                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Blepharoplasty
     00104                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Electroshock
     00120                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Ear Surgery
     00124                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Ear Exam
     00126                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Tympanotomy
     00140                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Procedures On Eye
     00142                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Lens Surgery
     00144                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Corneal Transplant
     00145                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Vitreoretinal Surg
     00147                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Iridectomy
     00148                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Eye Exam
     00160                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Nose/Sinus Surgery
     00162                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Nose/Sinus Surgery
     00164                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Biopsy Of Nose
     00170                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Procedure On Mouth
     00172                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Cleft Palate Repair
     00174                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Pharyngeal Surgery
     00176                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Pharyngeal Surgery
     00190                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Face/Skull Bone Surg
     00192                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Facial Bone Surgery
     00210                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Cranial Surg Nos
     00211                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Cran Surg Hemotoma
     00212                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Skull Drainage
     00214                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Skull Drainage
     00215                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Skull Repair/Fract
     00216                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Head Vessel Surgery
     00218                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Special Head Surgery
     00220                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Intrcrn Nerve
     00222                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Head Nerve Surgery
     00300                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Head/Neck/Ptrunk
     00320                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Neck Organ 1Yr/>
     00322                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Biopsy Of Thyroid
     00326                        D            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Larynx/Trach < 1 Yr
     00350                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Neck Vessel Surgery
     00352                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Neck Vessel Surgery
     00400                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Skin Ext/Per/Atrunk
     00402                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Surgery Of Breast
     00404                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Surgery Of Breast
     00406                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Surgery Of Breast
     00410                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Correct Heart Rhythm
     00450                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Surgery Of Shoulder
     00454                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Collar Bone Biopsy
     00470                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Removal Of Rib
     00472                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Chest Wall Repair
     00474                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Surgery Of Rib
     00500                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Esophageal Surgery
     00520                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Chest Procedure
     00522                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Chest Lining Biopsy
     00524                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Chest Drainage
     00528                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anes Mediascpy & Dx Thorscpy
     00529                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anes Medscpy&Thorscpy 1 Lung
     00530                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Pacemaker Insertion
     00532                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Vascular Access
     00534                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Cardioverter/Defib
     00537                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Cardiac Electrophys
     00539                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Trach-Bronch Reconst
     00540                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Chest Surgery
